Main_Title,Sub_Title,Venue,Fees,Date,Links
Essentials of Quality Assurance,Techniques and Standards to Develop a Quality Philosophy,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/essentials-of-quality-assurance
Operational Process Design and Improvement,"Optimising Business Processes for Agility, Efficiency, and Sustainable Performance",London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/operational-process-design-and-improvement
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,AlUla,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,AlUla,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/governance-risk-compliance
Opportunity Auditing,Delivering Measurable Benefits,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/opportunity-auditing
Sustainable Investment,Assessments and Performance of Sustainable Investments,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/sustainable-investment
ISO/IEC 27031:2011 - Lead Implementer,Implementing Continuity of Business to Reduce Risk and Recover from ICT Event Disruptions,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/isoiec-270312011-lead-implementer-2
Professional Business Analysis Level 1,Entry Certificate in Business Analysis™ (ECBA™) Examination Preparatory Course,Amsterdam,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/professional-business-analysis-level-1
Business Process Analysis and Modelling,"Building Fast, Efficient and Effective Processes",London,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/business-process-analysis-modelling
Lean Six Sigma Master Black Belt Certification Training,Advanced Leadership in Process Improvement and Strategic Quality Management,Dubai,"$5,950",03 - 07 Nov 2025,https://glomacs.com/training-course/lean-six-sigma-master-black-belt-certification-training
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Dubai,"$11,900",03 - 14 Nov 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,Online,"$7,900",03 - 14 Nov 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
Business Process Analysis and Modelling,"Building Fast, Efficient and Effective Processes",Abu Dhabi,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/business-process-analysis-modelling
Mini MBA: Business Essentials,"Lead, Engage and Sustain your Organisation",London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/mini-mba-business-essentials
Lean Logistics for Supply Chain Operations,Optimize Efficiency and Sustainability,London,"$5,950",10 - 14 Nov 2025,https://glomacs.com/training-course/lean-logistics-for-supply-chain-operations
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Online,"$3,950",17 - 21 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Online,"$3,950",17 - 21 Nov 2025,https://glomacs.com/training-course/governance-risk-compliance
Measuring and Managing Customer Satisfaction,ISO 9001 and Beyond,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/measuring-and-managing-customer-satisfaction
Design Thinking for Strategic Management,Overcoming Organizational Challenges through Innovative Solutions,Dubai,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/design-thinking-for-strategic-management
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Barcelona,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Barcelona,"$5,950",17 - 21 Nov 2025,https://glomacs.com/training-course/governance-risk-compliance
ISO 50001: Energy Management Systems,Meeting International Standards in Energy Management,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/iso-50001-energy-management-systems-meeting-international-standards-in-energy-management
ISO 50001: Energy Management Systems,Meeting International Standards in Energy Management,Online,"$3,950",24 - 28 Nov 2025,https://glomacs.com/training-course/iso-50001-energy-management-systems-meeting-international-standards-in-energy-management
Structured Problem Solving Using Lean Sigma,,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/structured-problem-solving-using-lean-sigma
Management & Leadership Skills for Engineers and Science Based Professionals,Transforming the Professionals into Managers and Leaders,Dubai,"$5,950",24 - 28 Nov 2025,https://glomacs.com/training-course/management-leadership-skills-for-science-based-professionals
Construction Quality Control on Site,A Practical Approach to Solve Construction Problems,Abu Dhabi,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/construction-quality-control-on-site
Lean Thinking,The Philosophy of Increasing Efficiency and Improving Customer Value,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/lean-thinking
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Online,"$3,950",01 - 05 Dec 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Business System Analysis,"Discovering, Analysing, Modelling & Specifying User Requirements",London,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/business-system-analysis
Advanced Business Process Management (BPM) & Value Chain Optimization,Enhancing Organisational Performance through Integrated Process Excellence and Value Maximisation,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/advanced-business-process-management-bpm-value-chain-optimization
Business Process Management (BPM) Methodologies and Tools,Enhancing Organisational Agility and Efficiency through Process-Oriented Management,Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/business-process-management-bpm-methodologies-and-tools
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Online,"$3,950",01 - 05 Dec 2025,https://glomacs.com/training-course/operational-excellence-managing-performance
Total Quality Management TQM,Understanding the Core Principles and Philosophy of TQM,Jubail,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/total-quality-management-tqm
The Fundamentals of ISO 22320:2018,"Guidelines for Incident Management, Societal Security and Emergency Management",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/the-fundamentals-of-iso-22320-2018
Governance Arms of Risk Management,"Internal Audit, Compliance and Anti-Money Laundering & Combating Terrorism Finance",Dubai,"$5,950",01 - 05 Dec 2025,https://glomacs.com/training-course/governance-arms-of-risk-management-internal-audit-compliance-and-anti-money
Managing Training & ROI through ISO 29993:2017 Workshop,Providing Sustainable Organisational Development,Dubai,"$3,900",08 - 10 Dec 2025,https://glomacs.com/training-course/managing-training-roi-through-iso-299932017-workshop
Managing Training & ROI through ISO 29993:2017 Workshop,Providing Sustainable Organisational Development,Online,"$2,950",08 - 10 Dec 2025,https://glomacs.com/training-course/managing-training-roi-through-iso-299932017-workshop
Operational Excellence for Leaders,Guiding Breakthrough Strategies for Enhanced Competitive Advantage,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/operational-excellence-for-leaders
Business Process Redesign and Re-Engineering,A Systematic Approach to Improve Organizational Performance,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/business-process-redesign-and-re-engineering
ISO 45001 Lead Auditor,,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/iso-45001-lead-auditor
Strategic Quality Management: A Roadmap to Organizational Brilliance,Putting Quality at the Centre of Your Organizations Strategy,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/strategic-quality-management-a-roadmap-to-organizational-brilliance
Lean Six Sigma Green Belt Certification Training,"Learning How to Understand, Reduce & Manage Variation to Ensure Consistently Good Product, Service & Performance",London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/lean-six-sigma-foundation-green-belt-programme
Data Analysis for Internal Auditing,Boosting Audit Efficiency Through Data Analysis,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/data-analysis-for-internal-auditing
Analytical and Auditing Skills,Using Data as a Basis for Action,London,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/analytical-and-auditing-skills
Business Excellence Strategy Development and Implementation,Designing and Executing High-Performance Strategies for Sustainable Organisational Success,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/business-excellence-strategy-development-and-implementation
Business Requirements Analysis and Technical Documentation,Mastering the Art of Eliciting Business Needs and Creating Clear Technical Documentation,Dubai,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/business-requirements-analysis-bra-and-technical-documentation
Mastering Excellence: Strategic Quality Management and Business Improvement Techniques,Integrative Strategies to Navigating the Path to Achieving Operational Excellence,Dubai,"$11,900",08 - 19 Dec 2025,https://glomacs.com/training-course/mastering-excellence-strategic-quality-management-and-business-improvement-techniques
Leading Business Strategy Through Operational Excellence,Aligning Strategies and Operations to Enhance Corporate Values,Dubai,"$11,900",08 - 19 Dec 2025,https://glomacs.com/training-course/leading-business-strategy-through-operational-excellence
Sustainable Investment,Assessments and Performance of Sustainable Investments,Paris,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/sustainable-investment
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/operational-excellence-managing-performance
Operational Excellence through Lean Six Sigma,"Driving Efficiency, Quality, and Continuous Improvement in Business Operations",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/operational-excellence-through-lean-six-sigma
Simplification of Work Processes and Procedures,"Methodologies, Implementation & Monitoring",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/simplification-of-work-processes-and-procedures
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Auditing Oil & Gas Industry Quality Management Systems,Principles and Practices of Effective Quality Management Systems,London,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/auditing-oil-gas-industry-quality-management-systems
Operational Process Design and Improvement,"Optimising Business Processes for Agility, Efficiency, and Sustainable Performance",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/operational-process-design-and-improvement
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Online,"$3,950",15 - 19 Dec 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Online,"$3,950",15 - 19 Dec 2025,https://glomacs.com/training-course/operational-excellence-managing-performance
Business Improvement & Quality Techniques,Implementing Recognized Best Practices that Give Maximum Impact on Business Objectives,Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/business-improvement-and-quality-techniques
QMS Audit and IFRS for Oil & Gas Industry,The Complete Guide to Auditing both Quality Management & Financial Standards in Oil & Gas,London,"$11,900",15 - 26 Dec 2025,https://glomacs.com/training-course/qms-audit-and-ifrs-for-oil-gas-industry
Upstream Contracts Audit,,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/upstream-contracts-audit
Professional Certificate in Compliance Regulations,Perform Better by Protecting the Firm from Compliance Risk,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/professional-certificate-in-compliance-regulations
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Lisbon,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Professional Certificate in Compliance Regulations,Perform Better by Protecting the Firm from Compliance Risk,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/professional-certificate-in-compliance-regulations
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/governance-risk-compliance
Compliance Regulatory Professionals,Perform Better by Protecting the Firm from Compliance Risk,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/compliance-regulatory-professionals
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Lisbon,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/operational-excellence-managing-performance
Information & Documentation Compliance,Streamlining Documents in A Digital Age,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/information-and-documentation-compliance
Achieving Business Process Change,Transforming & Adapting Work Processes for Optimal Performance,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/achieving-business-process-change
Lean Six Sigma Green Belt Certification Training,"Learning How to Understand, Reduce & Manage Variation to Ensure Consistently Good Product, Service & Performance",Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/lean-six-sigma-foundation-green-belt-programme
Compliance Regulatory Professionals,Perform Better by Protecting the Firm from Compliance Risk,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/compliance-regulatory-professionals
Business Development: A Toolkit for Organisational Success,"Master Business DevelopmentThrough Knowledge, Skill, and Discipline",Paris,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/business-developmenta-toolkit-for-organisational-success
Auditing Oil & Gas Industry Quality Management Systems,Principles and Practices of Effective Quality Management Systems,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/auditing-oil-gas-industry-quality-management-systems
Mastering Workflow,"Collect, Process, Organise, Review & Perform",Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/mastering-workflow
Operational Excellence in Crisis Management and Contingency Planning,Strategies for Resilient Operations: Crisis Management and Contingency Planning,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/operational-excellence-in-crisis-management-and-contingency-planning
Quality Assurance and Control,Improving Quality and Performance Excellence,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/quality-assurance-control
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Auditing Corporate Governance,Assessing How Your Business is Directed and Controlled,Amsterdam,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/auditing-corporate-governance
Quality Assurance and Control,Improving Quality and Performance Excellence,Online,"$3,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/quality-assurance-control
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/governance-risk-compliance
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/operational-excellence-managing-performance
Design Thinking for Strategic Management,Overcoming Organizational Challenges through Innovative Solutions,London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/design-thinking-for-strategic-management
Achieving Operational Excellence Through People,"Delivering Superior Values to Customers, Employees and Stakeholders",Amsterdam,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/achieving-operational-excellence-through-people
Structured Problem Solving Using Lean Sigma,,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/structured-problem-solving-using-lean-sigma
Lean Six Sigma Green Belt Certification Training,"Learning How to Understand, Reduce & Manage Variation to Ensure Consistently Good Product, Service & Performance",Online,"$3,950",05 - 09 Jan 2026,https://glomacs.com/training-course/lean-six-sigma-foundation-green-belt-programme
Governance Arms of Risk Management,"Internal Audit, Compliance and Anti-Money Laundering & Combating Terrorism Finance",London,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/governance-arms-of-risk-management-internal-audit-compliance-and-anti-money
"Understanding, Developing & Maintaining Oil & Gas Industry Quality Management Systems",Learn the Benefits of World Class Effective Quality Management Systems,London,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/understanding-developing-maintaining-oil-gas-industry-quality-management-systems
Quality Assurance and Control,Improving Quality and Performance Excellence,Online,"$3,950",12 - 16 Jan 2026,https://glomacs.com/training-course/quality-assurance-control
"Cybersecurity, Information Governance, Legal Risk Management and Compliance with ISO Records Management Controls",,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/cybersecurity-information-governance-legal-risk-management-and-compliance-with-iso-records-management-controls
"Cybersecurity, Information Governance, Legal Risk Management and Compliance with ISO Records Management Controls",,Online,"$3,950",12 - 16 Jan 2026,https://glomacs.com/training-course/cybersecurity-information-governance-legal-risk-management-and-compliance-with-iso-records-management-controls
Oil & Gas Industry Quality Management System Auditor / Lead Auditor Training,Leading Audits to Assure Quality and the Effectiveness of Organisational Processes,London,"$11,900",12 - 23 Jan 2026,https://glomacs.com/training-course/oil-gas-industry-quality-management-system-auditorlead-auditor-training
Auditing Oil & Gas Industry Quality Management Systems,Principles and Practices of Effective Quality Management Systems,London,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/auditing-oil-gas-industry-quality-management-systems
Auditing Corporate Governance,Assessing How Your Business is Directed and Controlled,New York,"$7,950",19 - 23 Jan 2026,https://glomacs.com/training-course/auditing-corporate-governance
Essentials of Quality Assurance,Techniques and Standards to Develop a Quality Philosophy,Edinburgh,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/essentials-of-quality-assurance
Management & Leadership Skills for Engineers and Science Based Professionals,Transforming the Professionals into Managers and Leaders,Dubai,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/management-leadership-skills-for-science-based-professionals
Quality Assurance in Practice,Implementation of ISO 9001 and Assessment,Tromso,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/quality-assurance-in-practice
Simplification of Work Processes and Procedures,"Methodologies, Implementation & Monitoring",Kigali,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/simplification-of-work-processes-and-procedures
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/governance-risk-compliance
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Paris,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Paris,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/governance-risk-compliance
Mini MBA in Digital Transformation in Procurement and Supply Chain,Navigating Disruption with Innovative Strategies,Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/mini-mba-in-digital-transformation-in-procurement-and-supply-chain
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Paris,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Simplification of Work Processes and Procedures,"Methodologies, Implementation & Monitoring",Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/simplification-of-work-processes-and-procedures
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Paris,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/operational-excellence-managing-performance
Structured Problem Solving Using Lean Sigma,,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/structured-problem-solving-using-lean-sigma
Lean Six Sigma Yellow Belt Certification Training,Empowering Professionals with Foundational Skills for Process Improvement and Operational Excellence,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/lean-six-sigma-yellow-belt-certification-training
Achieving Business Process Change,Transforming & Adapting Work Processes for Optimal Performance,Online,"$3,950",16 - 20 Feb 2026,https://glomacs.com/training-course/achieving-business-process-change
Managing Multiple Tasks Workshop,"Achieving the Right Task, in the Right Way, at the Right Time",Abuja,"$3,950",02 - 04 Mar 2026,https://glomacs.com/training-course/managing-multiple-tasks-workshop
Business Improvement & Quality Techniques,Implementing Recognized Best Practices that Give Maximum Impact on Business Objectives,Online,"$3,950",02 - 06 Mar 2026,https://glomacs.com/training-course/business-improvement-and-quality-techniques
Business Process Analysis and Modelling,"Building Fast, Efficient and Effective Processes",Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/business-process-analysis-modelling
Auditing Corporate Governance,Assessing How Your Business is Directed and Controlled,Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/auditing-corporate-governance
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Paris,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/operational-excellence-managing-performance
Structured Problem Solving Using Lean Sigma,,London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/structured-problem-solving-using-lean-sigma
Lean Thinking,The Philosophy of Increasing Efficiency and Improving Customer Value,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/lean-thinking
"Fraud Detection, Tracing and Forensic Examination in the Oil and Gas Industry",Helping you Identify and Reduce Fraud in the Workplace,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/fraud-detection-tracing-and-forensic-examination-in-the-oil-and-gas-industry
Business Process Analysis and Modelling,"Building Fast, Efficient and Effective Processes",London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/business-process-analysis-modelling
Lean Logistics for Supply Chain Operations,Optimize Efficiency and Sustainability,London,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/lean-logistics-for-supply-chain-operations
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",Paris,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/governance-risk-compliance
Information & Documentation Compliance,Streamlining Documents in A Digital Age,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/information-and-documentation-compliance
Data Analysis for Internal Auditing,Boosting Audit Efficiency Through Data Analysis,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/data-analysis-for-internal-auditing
Data Analysis for Internal Auditing,Boosting Audit Efficiency Through Data Analysis,Online,"$3,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/data-analysis-for-internal-auditing
Design Thinking for Strategic Management,Overcoming Organizational Challenges through Innovative Solutions,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/design-thinking-for-strategic-management
Professional Certificate in Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-operational-excellence
Design Thinking for Strategic Management,Overcoming Organizational Challenges through Innovative Solutions,Amsterdam,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/design-thinking-for-strategic-management
Sustainable Investment,Assessments and Performance of Sustainable Investments,Dubai,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/sustainable-investment
Operational Excellence,"Implement Lean Organization Principles, Methodologies to Achieve Key Operational Excellence Goals",London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/operational-excellence-managing-performance
Professional Certificate in Compliance Regulations,Perform Better by Protecting the Firm from Compliance Risk,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/professional-certificate-in-compliance-regulations
"Professional Certificate in Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/cpd-professional-certificate-in-governance-risk-compliance
"Governance, Risk & Compliance (GRC)",Work Efficiently & Effectively using the Best Practices in GRC,London,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/governance-risk-compliance
